section,property,col:0,col:1,col:2,col:3,col:4,col:5
,PV Arc Fault Detection,Integrated,Integrated,Integrated,Integrated,Integrated,Integrated
General Data,Operating Temperature Range (°F),-31°F ~ 140°F (-35°C ~ 60°C),-31°F ~ 140°F (-35°C ~ 60°C),-31°F ~ 140°F (-35°C ~ 60°C),-31°F ~ 140°F (-35°C ~ 60°C),-31°F ~ 140°F (-35°C ~ 60°C),-31°F ~ 140°F (-35°C ~ 60°C)
,Relative Humidity,0 ~ 95%,0 ~ 95%,0 ~ 95%,0 ~ 95%,0 ~ 95%,0 ~ 95%
,Max. Operating Altitude (ft),≤13123ft (4000m),≤13123ft (4000m),≤13123ft (4000m),≤13123ft (4000m),≤13123ft (4000m),≤13123ft (4000m)
,Cooling Method,Intelligent Fan,Intelligent Fan,Intelligent Fan,Intelligent Fan,Intelligent Fan,Intelligent Fan
,Display,"LED & APP (WiFi, Bluetooth)","LED & APP (WiFi, Bluetooth)","LED & APP (WiFi, Bluetooth)","LED & APP (WiFi, Bluetooth)","LED & APP (WiFi, Bluetooth)","LED & APP (WiFi, Bluetooth)"
,Communication with BMS,RS485; CAN,RS485; CAN,RS485; CAN,RS485; CAN,RS485; CAN,RS485; CAN
,Communication with Meter,RS485,RS485,RS485,RS485,RS485,RS485
,Communication with Portal,Wi-Fi; LAN (Optional),Wi-Fi; LAN (Optional),Wi-Fi; LAN (Optional),Wi-Fi; LAN (Optional),Wi-Fi; LAN (Optional),Wi-Fi; LAN (Optional)
,Weight (lb),62.8lb (28.5kg),62.8lb (28.5kg),70.5lb (32kg),70.5lb (32kg),70.5lb (32kg),70.5lb (32kg)
,Dimension W × H × D (inch),16.3 × 31.1 × 6.9 in (415 × 790 × 175 mm ),16.3 × 31.1 × 6.9 in (415 × 790 × 175 mm ),16.3 × 31.1 × 6.9 in (415 × 790 × 175 mm ),16.3 × 31.1 × 6.9 in (415 × 790 × 175 mm ),16.3 × 31.1 × 6.9 in (415 × 790 × 175 mm ),16.3 × 31.1 × 6.9 in (415 × 790 × 175 mm )
,Noise Emission (dB),<45,<45,<45,<45,<45,<45
,Topology,Transformerless,Transformerless,Transformerless,Transformerless,Transformerless,Transformerless
,Self-consumption at Night (W)*4,<20,<20,<20,<20,<20,<20
,Ingress Protection Rating,NEMA Type 4X,NEMA Type 4X,NEMA Type 4X,NEMA Type 4X,NEMA Type 4X,NEMA Type 4X
,Mounting Method,Wall Bracket,Wall Bracket,Wall Bracket,Wall Bracket,Wall Bracket,Wall Bracket
Certification,Grid Standards,"UL1741 SA, California Rule 21, HECO Rule 14, IEEE 1547, IEEE 1547.1","UL1741 SA, California Rule 21, HECO Rule 14, IEEE 1547, IEEE 1547.1","UL1741 SA, California Rule 21, HECO Rule 14, IEEE 1547, IEEE 1547.1","UL1741 SA, California Rule 21, HECO Rule 14, IEEE 1547, IEEE 1547.1","UL1741 SA, California Rule 21, HECO Rule 14, IEEE 1547, IEEE 1547.1","UL1741 SA, California Rule 21, HECO Rule 14, IEEE 1547, IEEE 1547.1"
,Safety Regulation,"UL 1741, CSA 22.2 No. 107-01, UL 1998, UL1699B","UL 1741, CSA 22.2 No. 107-01, UL 1998, UL1699B","UL 1741, CSA 22.2 No. 107-01, UL 1998, UL1699B","UL 1741, CSA 22.2 No. 107-01, UL 1998, UL1699B","UL 1741, CSA 22.2 No. 107-01, UL 1998, UL1699B","UL 1741, CSA 22.2 No. 107-01, UL 1998, UL1699B"
