section,property,col:0,col:1,col:2,col:3,col:4
Protection,Integrated,"PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection","PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection","PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection","PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection","PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection"
,Output Over Voltage Protection,DC Type II/AC Type III,DC Type II/AC Type III,DC Type II/AC Type III,DC Type II/AC Type III,DC Type II/AC Type III
Certiﬁcations and Standards,Grid Regulation,"VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150","VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150","VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150","VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150","VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150"
,Safety EMC / Standard,"IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2"
General Data,Operating Temperature Range (℃),"-40~60℃, >45℃ derating","-40~60℃, >45℃ derating","-40~60℃, >45℃ derating","-40~60℃, >45℃ derating","-40~60℃, >45℃ derating"
,Cooling,Smart cooling,Smart cooling,Smart cooling,Smart cooling,Smart cooling
,Noise (dB),≤45 dB,≤45 dB,≤45 dB,≤45 dB,≤45 dB
,Communication with BMS,RS485; CAN,RS485; CAN,RS485; CAN,RS485; CAN,RS485; CAN
,Weight (kg),33.6,33.6,33.6,33.6,33.6
,Size (mm),422W x 702H x281D,422W x 702H x281D,422W x 702H x281D,422W x 702H x281D,422W x 702H x281D
,Protection Degree,IP65,IP65,IP65,IP65,IP65
