section,property,col:0,col:1,col:2,col:3,col:4
,Output Frequency and Voltage,50/60Hz; L/N/PE  220/230Vac (single phase),50/60Hz; L/N/PE  220/230Vac (single phase),50/60Hz; L/N/PE  220/230Vac (single phase),50/60Hz; L/N/PE  220/230Vac (single phase),50/60Hz; L/N/PE  220/230Vac (single phase)
,Grid Type,Single Phase,Single Phase,Single Phase,Single Phase,Single Phase
,Total Harmonic Distortion (THD),<3% (of nominal power),<3% (of nominal power),<3% (of nominal power),<3% (of nominal power),<3% (of nominal power)
,DC current injection,<0.5% In,<0.5% In,<0.5% In,<0.5% In,<0.5% In
Eﬃciency,Max. Eﬃciency,97.60%,97.60%,97.60%,97.60%,97.60%
,Euro Eﬃciency,96.50%,96.50%,96.50%,96.50%,96.50%
,MPPT Eﬃciency,99.90%,99.90%,99.90%,99.90%,99.90%
Protection,Integrated,"PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection","PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection","PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection","PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection","PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection"
,Output Over Voltage Protection,DC Type II/AC Type III,DC Type II/AC Type III,DC Type II/AC Type III,DC Type II/AC Type III,DC Type II/AC Type III
Certiﬁcations and Standards,Grid Regulation,"VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150","VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150","VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150","VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150","VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150"
,Safety EMC / Standard,"IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2"
General Data,Operating Temperature Range (℃),"-40~60℃, >45℃ derating","-40~60℃, >45℃ derating","-40~60℃, >45℃ derating","-40~60℃, >45℃ derating","-40~60℃, >45℃ derating"
,Cooling,Natural cooling,Natural cooling,Natural cooling,Natural cooling,Natural cooling
,Noise (dB),<30 dB,<30 dB,<30 dB,<30 dB,<30 dB
,Communication with BMS,RS485; CAN,RS485; CAN,RS485; CAN,RS485; CAN,RS485; CAN
,Weight (kg),24,24,24,24,24
,Size (mm),330W x 580H x232D,330W x 580H x232D,330W x 580H x232D,330W x 580H x232D,330W x 580H x232D
,Protection Degree,IP65,IP65,IP65,IP65,IP65
,Installation Style,Wall-mounted,Wall-mounted,Wall-mounted,Wall-mounted,Wall-mounted
,Warranty,5 years,5 years,5 years,5 years,5 years
