section,property,col:0,col:1,col:2,col:3,col:4,col:5,col:6
,Safety EMC / Standard,"IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2"
General Data,Operating Temperature Range (℃),"-40~60℃, >45℃ derating","-40~60℃, >45℃ derating","-40~60℃, >45℃ derating","-40~60℃, >45℃ derating","-40~60℃, >45℃ derating","-40~60℃, >45℃ derating","-40~60℃, >45℃ derating"
,Cooling,Smart cooling,Smart cooling,Smart cooling,Smart cooling,Smart cooling,Smart cooling,Smart cooling
,Noise (dB),≤55 dB,≤55 dB,≤55 dB,≤55 dB,≤55 dB,≤55 dB,≤55 dB
,Communication with BMS,RS485; CAN,RS485; CAN,RS485; CAN,RS485; CAN,RS485; CAN,RS485; CAN,RS485; CAN
,Weight (kg),30.5,30.5,30.5,30.5,30.5,30.5,30.5
,Size (mm),408W×638H×237D,408W×638H×237D,408W×638H×237D,408W×638H×237D,408W×638H×237D,408W×638H×237D,408W×638H×237D
,Protection Degree,IP65,IP65,IP65,IP65,IP65,IP65,IP65
,Installation Style,Wall-mounted,Wall-mounted,Wall-mounted,Wall-mounted,Wall-mounted,Wall-mounted,Wall-mounted
,Warranty,5 years,5 years,5 years,5 years,5 years,5 years,5 years
