section,property,col:0,col:1,col:2,col:3,col:4,col:5,col:6
Protection devices,DC reverse polarity protection,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,DC switch,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,DC/AC surge protection,Type II/Type III,Type II/Type III,Type II/Type III,Type II/Type III,Type II/Type III,Type II/Type III,Type II/Type III
,Insulation resistance monitoring,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,AC short-circuit protection,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Ground fault monitoring,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Grid monitoring,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Anti-islanding protection,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Residual-current monitoring unit,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,AFCI protection,Optional,Optional,Optional,Optional,Optional,Optional,Optional
General data,Dimensions (W / H / D),375/350/160mm,375/350/160mm,375/350/160mm,375/350/160mm,375/350/160mm,375/350/160mm,375/350/160mm
,Weight,10.8kg,10.8kg,10.8kg,10.8kg,10.8kg,10.8kg,10.8kg
,Operating temperature range,–25°C ... +60°C,–25°C ... +60°C,–25°C ... +60°C,–25°C ... +60°C,–25°C ... +60°C,–25°C ... +60°C,–25°C ... +60°C
,Altitude,4000m,4000m,4000m,4000m,4000m,4000m,4000m
,Self-Consumption night,10W,10W,10W,10W,10W,10W,10W
,Topology,Transformerless,Transformerless,Transformerless,Transformerless,Transformerless,Transformerless,Transformerless
,Cooling,Natural convection,Natural convection,Natural convection,Natural convection,Natural convection,Natural convection,Natural convection
,Protection degree,IP65,IP65,IP65,IP65,IP65,IP65,IP65
,Relative humidity,0%~100%,0%~100%,0%~100%,0%~100%,0%~100%,0%~100%,0%~100%
,DC connection,H4/MC4(Optional),H4/MC4(Optional),H4/MC4(Optional),H4/MC4(Optional),H4/MC4(Optional),H4/MC4(Optional),H4/MC4(Optional)
,AC connection,Connector,Connector,Connector,Connector,Connector,Connector,Connector
,Display,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP
,Interfaces: RS485 / USB/Wi-Fi/ GPRS/ RF/LAN,Yes/Yes/Optional/Optional/Optional /Optional,Yes/Yes/Optional/Optional/Optional /Optional,Yes/Yes/Optional/Optional/Optional /Optional,Yes/Yes/Optional/Optional/Optional /Optional,Yes/Yes/Optional/Optional/Optional /Optional,Yes/Yes/Optional/Optional/Optional /Optional,Yes/Yes/Optional/Optional/Optional /Optional
,Warranty: 5 years / 10 years,Yes /Optional,Yes /Optional,Yes /Optional,Yes /Optional,Yes /Optional,Yes /Optional,Yes /Optional
